date,rented_bike_count,hour,temp_celcius,humidity_percent,wind_speed_m_per_s,visibility_10m,dew_point_temp_celcius,solar_radiation_mj_per_m2,rainfall_mm,snowfall_cm,seasons,holiday,functioning_day,day_of_week,holiday_code,functioning_day_code,seasons_code
2017-01-12,254,0,-52,37,22,1.0,-176,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,204,1,-55,38,8,1.0,-176,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,173,2,-60,39,10,1.0,-177,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,107,3,-62,40,9,1.0,-176,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,78,4,-60,36,23,1.0,-186,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,100,5,-64,37,15,1.0,-187,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,181,6,-66,35,13,1.0,-195,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,460,7,-74,38,9,1.0,-193,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,930,8,-76,37,11,1.0,-198,0.01,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,490,9,-65,27,5,0.9635073492143943,-224,0.23,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,339,10,-35,24,12,0.9979726305119108,-212,0.65,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,360,11,-5,21,13,0.9675620881905727,-202,0.94,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,449,12,17,23,14,1.0,-172,1.11,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,451,13,24,25,16,1.0,-156,1.16,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,447,14,30,26,20,1.0,-146,1.01,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,463,15,21,36,32,1.0,-114,0.54,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,484,16,12,54,42,0.3882412569690826,-70,0.24,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,555,17,8,58,16,1.0,-65,0.08,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,862,18,6,66,14,1.0,-50,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,600,19,0,77,17,1.0,-35,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,426,20,-3,79,15,0.9559047136340597,-35,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,405,21,-8,81,8,0.8413583375570197,-36,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,398,22,-9,83,15,0.6857577293461733,-34,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
2017-01-12,323,23,-13,84,10,0.6274708565636087,-36,0.0,0.0,0.0,Winter,No Holiday,Yes,Thursday,0,1,3
