date,rented_bike_count,hour,temp_celcius,humidity_percent,wind_speed_m_per_s,visibility_10m,dew_point_temp_celcius,solar_radiation_mj_per_m2,rainfall_mm,snowfall_cm,seasons,holiday,functioning_day
01/12/2017,254,0,-52,37,22,1.0,-176,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,204,1,-55,38,8,1.0,-176,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,173,2,-60,39,10,1.0,-177,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,107,3,-62,40,9,1.0,-176,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,78,4,-60,36,23,1.0,-186,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,100,5,-64,37,15,1.0,-187,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,181,6,-66,35,13,1.0,-195,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,460,7,-74,38,9,1.0,-193,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,930,8,-76,37,11,1.0,-198,0.01,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,490,9,-65,27,5,0.9635073492143943,-224,0.23,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,339,10,-35,24,12,0.9979726305119108,-212,0.65,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,360,11,-5,21,13,0.9675620881905727,-202,0.94,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,449,12,17,23,14,1.0,-172,1.11,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,451,13,24,25,16,1.0,-156,1.16,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,447,14,30,26,20,1.0,-146,1.01,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,463,15,21,36,32,1.0,-114,0.54,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,484,16,12,54,42,0.3882412569690826,-70,0.24,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,555,17,8,58,16,1.0,-65,0.08,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,862,18,6,66,14,1.0,-50,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,600,19,0,77,17,1.0,-35,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,426,20,-3,79,15,0.9559047136340597,-35,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,405,21,-8,81,8,0.8413583375570197,-36,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,398,22,-9,83,15,0.6857577293461733,-34,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,323,23,-13,84,10,0.6274708565636087,-36,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,328,0,-18,87,11,0.4901165737455651,-36,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,308,1,-22,86,6,0.4880892042574759,-42,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,262,2,-29,86,15,0.622909275215408,-49,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,167,3,-35,81,22,0.6051697921946274,-62,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,89,4,-38,79,20,0.5778003041054232,-69,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,79,5,-40,79,15,0.5955397871262037,-71,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,70,6,-43,82,21,0.5833755701976685,-69,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,146,7,-44,81,25,0.633046122655854,-71,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,219,8,-42,79,21,0.7141409021794222,-73,0.01,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,328,9,-29,68,16,0.7399898631525595,-79,0.3,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,334,10,-4,57,16,0.64977192093259,-78,0.8,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,388,11,19,49,18,0.6989356310187531,-77,1.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,479,12,43,41,13,0.8307146477445514,-78,1.09,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,606,13,60,36,18,0.8884946781550938,-79,1.12,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,611,14,73,35,13,0.9771920932589964,-71,0.99,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,589,15,76,41,23,0.9761784085149517,-48,0.74,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,618,16,64,48,26,0.9721236695387734,-38,0.22,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,572,17,60,51,25,0.9447541814495691,-33,0.06,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,489,18,55,53,15,0.8464267612772427,-33,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,385,19,50,52,23,0.8307146477445514,-40,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,359,20,46,51,12,0.789660415610745,-46,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,377,21,41,55,12,0.7202230106436898,-41,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,354,22,35,54,15,0.7192093258996451,-49,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,366,23,40,56,10,0.6715661429295489,-40,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,342,0,40,58,14,0.6431829700963,-35,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,227,1,39,69,17,0.2321338063862139,-12,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,228,2,33,79,14,0.40699442473390773,0,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,117,3,34,71,16,0.4987328940699442,-13,0.0,0.5,0.0,Winter,No Holiday,Yes
03/12/2017,76,4,35,73,10,0.5235681702990369,-8,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,32,5,39,75,19,0.44956918398378104,-1,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,13,6,34,86,25,0.12721743537759758,12,0.0,1.0,0.0,Winter,No Holiday,Yes
03/12/2017,22,7,31,91,12,0.051697921946274705,17,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,85,8,32,92,18,0.10998479472883933,20,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,152,9,35,91,18,0.10339584389254942,21,0.02,2.5,0.0,Winter,No Holiday,Yes
03/12/2017,200,10,44,89,22,0.11657374556512926,27,0.24,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,273,11,51,87,14,0.14901165737455652,31,0.25,0.0,0.0,Winter,No Holiday,Yes
